"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"IMMU","Immunomedics, Inc.","2.47","234010640.5","n/a","United States","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/immu",
"IMH","Impac Mortgage Holdings, Inc.","13.68","166598460","n/a","United States","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/imh",
"IPXL","Impax Laboratories, Inc.","32.22","2339261926.02","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ipxl",
"IMO","Imperial Oil Limited","32.98","27953815382.78","n/a","Canada","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo",
"IMPV","Imperva, Inc.","47.29","1527861445.89","n/a","United States","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/impv",
"IMMY","Imprimis Pharmaceuticals, Inc.","4.02","38920216.92","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/immy",
"IMPR","Imprivata, Inc.","11.93","299562824.92","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/impr",
"IMS","IMS Health Holdings, Inc.","25.6","8431068544","n/a","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/ims",
"INCR","INC Research Holdings, Inc.","40.46","2183872722.78","n/a","United States","2014","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/incr",
"IOT","Income Opportunity Realty Investors, Inc.","6.9996","29175830.7144","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iot",
"SAAS","inContact, Inc.","9.16","568727170.04","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/saas",
